2026-02-16 13:06:09 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:09 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:09 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:10 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:11 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:12 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:13 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:14 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:14 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:14 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:14 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:15 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
